QueryId,Query Description
0,what is big bang
1,how does the coronavirus respond to changes in the weather
2,will SARS-CoV2 infected people develop immunity? Is cross protection possible?
3,what causes death from Covid-19?
4,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?
5,what types of rapid testing for Covid-19 have been developed?
6,are there serological tests that detect antibodies to coronavirus?
7,how has lack of testing availability led to underreporting of true incidence of Covid-19?
8,how has COVID-19 affected Canada
9,has social distancing had an impact on slowing the spread of COVID-19?
10,what are the guidelines for triaging patients infected with coronavirus?
11,what are best practices in hospitals and at home in maintaining quarantine?
12,what are the transmission routes of coronavirus?
13,what evidence is there related to COVID-19 super spreaders
14,how long can the coronavirus live outside the body
15,how long does coronavirus remain stable  on surfaces?
16,are there any clinical trials available for the coronavirus
17,what are the best masks for preventing infection by Covid-19?
18,what type of hand sanitizer is needed to destroy Covid-19?
19,are patients taking Angiotensin-converting enzyme inhibitors (ACE) at increased risk for COVID-19?
20,what are the mortality rates overall and in specific populations
21,are cardiac complications likely in patients with COVID-19?
22,what kinds of complications related to COVID-19 are associated with hypertension?
23,what kinds of complications related to COVID-19 are associated with diabetes
24,which biomarkers predict the severe clinical course of 2019-nCOV infection?
25,what are the initial symptoms of Covid-19?
26,what is known about those infected with Covid-19 but are asymptomatic?
27,what evidence is there for the value of hydroxychloroquine in treating Covid-19?
28,which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?
29,is remdesivir an effective treatment for COVID-19
30,How does the coronavirus differ from seasonal flu?
31,"Does SARS-CoV-2 have any subtypes, and if so what are they?"
32,What vaccine candidates are being tested for Covid-19?
33,What are the longer-term complications of those who recover from COVID-19?
34,What new public datasets are available related to COVID-19?
